mineral_index,Mineral Name,Derived Strunz Top-Level,Structural Groupname,Crystal Systems,MDS 1,MDS 2,MDS 3
5058,Shandite,02,,hexagonal,0.6251549767028803,0.0008895454770774889,0.012980684379666076
5059,Shannonite,05,,orthorhombic,-0.17241638005741067,-0.18418088422161422,-0.1072859387705512
5060,Sharpite,05,,orthorhombic,-0.18946234010200533,-0.2944961866344361,-0.050387710723382544
5061,Sharyginite,04,"Brownmillerite, Perovskite",orthorhombic,0.5955500882158672,-0.062375299873302065,0.04418584720193383
5062,Shasuite,08,,monoclinic,0.6035840324496127,-0.013437825337670312,0.034041317383721986
5063,Shattuckite,09,,orthorhombic,-0.14999186938931344,-0.21496002794909047,-0.040412986228568495
5064,Shcherbakovite,09,Batisite,orthorhombic,0.6198175681826983,-0.10670273111705461,0.052725380377340134
5065,Shcherbinaite,04,,orthorhombic,0.7781220895928753,-0.02147620641568017,-0.01752660307310054
5066,Shchurovskyite,08,Not in a structural group,monoclinic,-0.22740923316387854,-0.1323860004993883,0.30478932276350335
5067,Sheldrickite,05,,hexagonal,-0.20786354018140135,-0.06958193941979732,-0.05470283774406312
5068,Shenganfuite,03,Not in a structural group,triclinic,0.6095342020096737,-0.1408979488336707,-0.01362353235156854
5069,Shenzhuangite,02,Chalcopyrite,tetragonal,0.6164049325146559,0.0027871108155517136,0.00867476656592947
5070,Sherwoodite,04,,tetragonal,0.621726506890638,-0.06189050252885374,0.010573701784971034
5071,Shibkovite,09,Milarite,hexagonal,0.5934861323148479,-0.027239188524207016,0.04117444045531114
5072,Shigaite,07,"Woodwardite, Hydrotalcite",hexagonal,-0.24305970549663986,-0.31203983591482753,-0.25162587422102745
5073,Shijiangshanite,09,Wickenburgite,hexagonal,0.596029622069144,-0.1656166331618561,-0.0037180090949825214
5074,Shilovite,04,,orthorhombic,0.6172203070004373,-0.11615187682061298,0.017318882108143235
5075,Shimazakiite,06,Not in a structural group,"monoclinic, orthorhombic",0.6129587745843791,-0.010840905597688013,0.00604854659655654
5076,Shimenite,02,Chabournéite,triclinic,0.684411563777406,-0.016382768607524117,0.015477184340611445
5077,Shinarumpite,07,Leydetite,monoclinic,-0.2508224899081191,-0.27825159194487087,-0.2788121668491208
5078,Shinichengite,09,,triclinic,0.5901612698669152,-0.15405033310060956,0.02563129508168774
5079,Shinkolobweite,04,Not in a structural group,orthorhombic,0.6360528174482596,-0.2336875214186817,0.02809244174808403
5080,Shiranuiite,02,Spinel,cubic,0.6823964370162348,-0.05105994728782533,0.015407528169916883
5081,Shirokshinite,09,,monoclinic,0.5814009859077424,-0.0034579233660772413,0.04685764412382815
5082,Shirozulite,09,,monoclinic,0.5870860945859258,-0.10998737263059348,0.04967964196746688
5083,Shkatulkalite,09,Seidozerite-Lamprophyllite,monoclinic,0.6538322612270407,-0.08777738683222985,0.04507623260286672
5084,Shlykovite,09,,monoclinic,0.5849150696973341,-0.14095530050625596,0.04085263159595922
5085,Shojiite,09,Amphibole,monoclinic,0.5688850778608515,-0.06341493065349642,0.05981616803994279
5086,Shomiokite-(Y),05,,orthorhombic,-0.28420736889462317,0.2683095467700606,-0.0974192205833673
5087,Shortite,05,,orthorhombic,-0.2827602042734643,0.2767244660231374,-0.0913677681863998
5088,Shosanbetsuite,01,,orthorhombic,0.6292848014584409,0.5265826042260527,-0.04789061935375735
5089,Shuangfengite,02,Melonite,hexagonal,0.6945954198743751,-0.04395870317386745,0.024796250343725387
5090,Shuiskite-(Cr),09,Pumpellyite,monoclinic,-0.18787640645776538,-0.19151449804821705,0.031047131098705855
5091,Shuiskite-(Mg),09,Pumpellyite,monoclinic,-0.19159974106017152,-0.18106216819073193,0.04007494631647211
5092,Shulamitite,04,"Perovskite, Brownmillerite",orthorhombic,0.5971626476034235,-0.0696623971127485,0.0342185018778141
5093,Shumwayite,07,Not in a structural group,monoclinic,-0.2398108941279575,-0.3063410244639991,-0.317714174417764
5094,Shuvalovite,07,Not in a structural group,orthorhombic,-0.24752726389241092,-0.07445742893079685,-0.28363063725784177
