source_index,target_index,neighbor_rank,distance,relationship_category,relationship_description,raw_anion_group,raw_cations,raw_extra_anions,raw_hydration,raw_structural_water,raw_structure,weighted_anion_group,weighted_cations,weighted_extra_anions,weighted_hydration,weighted_structural_water,weighted_structure
4829,4012,1,0.10657499730587006,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.1975,0.22,0.0,0.0,0.75,0.0,0.06517500000000001,0.0264,0.0,0.0,0.015
4829,5067,2,0.13549190759658813,compositional_subset,One parsed formula feature set is a strict subset of the other.,0.0,0.33249999999999996,0.0,0.21533827903669653,0.0,0.75,0.0,0.10972499999999999,0.0,0.010766913951834827,0.0,0.015
4829,3278,3,0.1404000073671341,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.38,0.0,0.0,0.0,0.75,0.0,0.1254,0.0,0.0,0.0,0.015
4829,1861,4,0.15754468739032745,compositional_subset,One parsed formula feature set is a strict subset of the other.,0.0,0.06666666666666662,0.9148148148148147,0.21533827903669653,0.0,0.75,0.0,0.02199999999999999,0.10977777777777777,0.010766913951834827,0.0,0.015
4829,88,5,0.1628532111644745,multiple_substitutions,More than one compositional component differs materially.,0.0,0.27644444444444444,0.22,0.6045309775610838,0.0,0.75,0.0,0.09122666666666666,0.0264,0.03022654887805419,0.0,0.015
4829,2422,6,0.1717499941587448,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.475,0.0,0.0,0.0,0.75,0.0,0.15675,0.0,0.0,0.0,0.015
4829,885,7,0.1743054836988449,compositional_subset,One parsed formula feature set is a strict subset of the other.,0.0,0.11699999999999995,0.9160714285714286,0.21533827903669653,0.0,0.75,0.0,0.038609999999999985,0.10992857142857143,0.010766913951834827,0.0,0.015
4829,1197,8,0.18387749791145325,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.5117499999999999,0.0,0.0,0.0,0.75,0.0,0.16887749999999999,0.0,0.0,0.0,0.015
4829,3712,9,0.19617857038974762,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.20357142857142857,0.95,0.0,0.0,0.75,0.0,0.06717857142857143,0.11399999999999999,0.0,0.0,0.015
4829,437,10,0.19740000367164612,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.38,0.475,0.0,0.0,0.75,0.0,0.1254,0.056999999999999995,0.0,0.0,0.015
4830,2343,1,0.03558892384171486,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.060037735849056584,0.006470588235294118,0.0,0.0,0.75,0.0,0.019812452830188673,0.000776470588235294,0.0,0.0,0.015
