Nickel-Strunz Source Name,Nickel-Strunz Classification
Minamiite,07.BC.10
Klyuchevskite-Duplicate,07.BC.45
IMA2002-034,07.CB.15
Caichengyunite,07.CB.95
Monsmedite,07.CC.25
Basaluminite,07.DD.05
Zn-Schulenbergite,07.DD.08.0
Zincowoodwardite-3R,07.DD.35
Zincowoodwardite-1T,07.DD.35
Chelyabinskite,07.DG.45
Fergusonite-(Nd),07.GA.05
Obradovicite,07.GB.40
Mendozavilite,07.GB.45
IMA2009-008,07.XX.00
Ferrisicklerite,08.AB.10
Sicklerite,08.AB.10
IMA2008-054,08.AC.10
Ferrohagendorfite,08.AC.10
Bobdownsite,08.AC.45
Merrillite-(Ca),08.AC.45
Merrillite-(Y),08.AC.45
Stornesite-(Y),08.AC.50
IMA2008-064,08.AC.90
Brabantite,08.AD.50
Natromontebrasite,08.BB.05
Magniotriplite,08.BB.10
Arrojadite,08.BF.05
Dickinsonite,08.BF.05
Arrojadite-(BaFe),08.BF.05
Arrojadite-(NaFe),08.BF.05
Dickinsonite-(KNa),08.BF.05
Fluorarrojadite-(KNa),08.BF.05
Ferri-arrojadite-(BaNa),08.BF.05
Dickinsonite-(KNaNa),08.BF.05
Dickinsonite-(NaNa),08.BF.05
Duftite-alpha,08.BH.35
Duftite-beta,08.BH.35
Duhamelite,08.BH.40
Orpheite,08.BL.05
Arsenowaylandite,08.BL.10
Lusungite,08.BL.10
Ferrazite,08.BL.10
Arsenoflorencite-(Nd),08.BL.13
IMA2008-068,08.BN.05
IMA2008-009,08.BN.05
Apatite,08.BN.05
Fermorite,08.BN.05
Apatite-(CaOH),08.BN.05
Apatite-(CaCl),08.BN.05
Carbonate-fluorapatite,08.BN.05
Carbonate-hydroxylapatite,08.BN.05
Clinomimetite,08.BN.05
Apatite-(CaF),08.BN.05
Apatite-(SrOH),08.BN.05
Apatite-(CaOH)-M,08.BN.05
Deloneite-(Ce),08.BN.05
IMA2008-066,08.CB.10
IMA2008-047,08.CB.10
IMA2008-010,08.CE.30
IMA2008-046,08.CE.75
Uranophane-beta,08.CG.05
Roselite-beta,08.CG.10
IMA2008-048,08.CH.55
Smolianinovite,08.CH.55
Churchite-(Dy),08.CJ.50
Churchite-(Nd),08.CJ.50
Oxiberaunite,08.DC.207.
Hotsonite-VII,08.DF.05
Hotsonite-VI,08.DF.05
Shubnikovite,08.DG.05
Zinclavendulan,08.DG.05
Kaluginite,08.DH.15
Jahnsite-(CaFeFe),08.DH.15
Jahnsite-(CaMgMg),08.DH.15
Matveevite,08.DH.35
Calcioandyrobertsite-1M,08.DH.50
Calcioandyrobertsite-2O,08.DH.50
Alumopharmacosiderite,08.DK.10
Barium-alumopharmacosiderite,08.DK.10
Barium-zinc-alumopharmacosiderite,08.DK.10
IMA2008-056,08.DK.15
Agardite-(Dy),08.DL.15
Agardite-(Ca),08.DL.15
Clinotyrolite,08.DM.10
Natrobetpakdalite,08.DM.15
Betpakdalite,08.DM.15
Phosphovanadylite,08.DM.20
Gutsevichite,08.DM.25
Kivuite,08.EC.10
Pyrocoproite,08.FA.20
Pyrophosphite,08.FA.20
Arnhemite,08.FC.20
IMA2009-002,08.XX.00
IMA2009-005,08.XX.00
Chernovite-(Ce),08.XX.00
Arsenobismite,08.XX.00
IMA2000-020,08.XX.00
IMA2009-016,08.XX.00
IMA2008-063,08.XX.00
Sodium-autunite,08.XX.00
Pseudo-autunite,08.XX.00
Cheralite-(Ce),08.XX.00
Laubmannite,08.XX.00
Spodiosite,08.XX.00
Sodium meta-autunite,08.XX.00
Kerstenite,08.XX.00
Lewisite,08.XX.00
Coeruleolactite,08.XX.00
Vanuranylite,08.XX.00
Viseite,08.XX.00
IMA2009-001,09.
IMA2003-019,09.
Olivine,09.AC.05
Hibschite,09.AD.25
IMA2008-035,09.AD.30
Thorogummite,09.AD.30
Tombarthite-(Y),09.AD.35
Eulytite,09.AD.40
Franciscanite-III,09.AF.07.5
Orebroite-III,09.AF.07.5
Welinite-III,09.AF.07.5
Franciscanite-VIII,09.AF.07.5
Welinite-VIII,09.AF.07.5
Braunite-I,09.AG.05
Braunite-II,09.AG.05
Aluminocerite-(Ce),09.AG.20
Cerite-(Ce),09.AG.20
Cerite-(La),09.AG.20
Yftisite-(Y),09.AG.25
Paraspurrite,09.AH.15
Ellestadite-(Cl),09.AH.25
Ellestadite-(F),09.AH.25
Ellestadite,09.AH.25
Ellestadite-(OH),09.AH.25
Garrelsite-V,09.AJ.15
Garrelsite-VIII,09.AJ.15
Bakerite,09.AJ.20
Calciogadolinite,09.AJ.20
Minasgeraisite-(Y),09.AJ.20
Swamboite,09.AK.20
Ursilite,09.AK.35
Yamatoite,09.AX.00
Hydrougrandite,09.AX.00
Melilite,09.BB.10
Clinobarylite,09.BB.15
Orthochevkinite,09.BE.07.0
Marianoite,09.BE.17
IMA2008-024,09.BE.20
Mosandrite,09.BE.20
Rinkite,09.BE.20
Hainite,09.BE.22
Orthoericssonite,09.BE.25
Polyphite-VIII,09.BE.407.
Quadruphite-VII,09.BE.45
Polyphite-VII,09.BE.45
Quadruphite-VIII,09.BE.45
Surkhobite,09.BE.67
Epidote-(Pb),09.BG.05a
Clinozoisite-(Sr),09.BG.05a
Manganipiemontite-(Sr),09.BG.05a
Julgoldite-(Fe++),09.BG.20
Julgoldite-(Fe+++),09.BG.20
Pumpellyite-(Fe++),09.BG.20
Okhotskite-(Mg),09.BG.20
Okhotskite-(Mn++),09.BG.20
Pumpellyite-(Fe+++),09.BG.20
Pumpellyite-(Mn++),09.BG.20
Shuiskite,09.BG.20
Fluorthalenite-(Y),09.BJ.20
Zinalsite,09.BX.00
Spodiophyllite,09.BX.00
IMA2009-011,09.BX.00
Pimelite,09.BX.00
Natrokomarovite,09.CE.45
Cerchiaraite,09.CF.25
Pezzottaite,09.CJ.05
Chromdravite,09.CK.05
Buergerite,09.CK.05
Vanadiumdravite,09.CK.05
Schorl-(F),09.CK.05
Hydroxyuvite,09.CK.05
Osumilite-(Fe),09.CM.05
IMA2009-004,09.CX.00
Magnesioastrophyllite,09.DC.05
Hydroastrophyllite,09.DC.05
Ferri-clinoholmquistite,09.DD.05
Magnesiogedrite,09.DD.05
Magnesioholmquistite,09.DD.05
Magnesioclinoholmquistite,09.DD.05
Clinoholmquistite,09.DD.05
Clinoferroholmquistite,09.DE.05
Magnesiocummingtonite,09.DE.05
Manganogrunerite,09.DE.05
Magnesioanthophyllite,09.DE.05
Protomangano-ferro-anthophyllite,09.DE.05
Sodicgedrite,09.DE.05
Sodic-ferro-anthophyllite,09.DE.05
Sodic-ferrogedrite,09.DE.05
Sodicanthophyllite,09.DE.05
Permanganogrunerite,09.DE.05
Sodic-ferri-ferropedrizite,09.DE.05
Manganocummingtonite,09.DE.05
Ferri-clinoferroholmquistite,09.DE.05
Sodic-ferripedrizite,09.DE.05
Fluoro-sodic-pedrizite,09.DE.05
Fluoro-potassichastingsite,09.DE.10
Chloro-potassichastingsite,09.DE.10
Fluoro-magnesiohastingsite,09.DE.10
Ferritschermakite,09.DE.10
Aluminoferrotschermakite,09.DE.10
Ferri-ferrotschermakite,09.DE.10
Cannilloite,09.DE.10
Ferrokaersutite,09.DE.10
Ferro-aluminotschermakite,09.DE.10
Potassic-magnesiosadanagaite,09.DE.10
Ferroferritschermakite,09.DE.10
Magnesiosadanagaite,09.DE.10
Parvo-manganotremolite,09.DE.10
Parvo-mangano-edenite,09.DE.10
Potassicferrisadanagaite,09.DE.15
Ferrochloropargasite,09.DE.15
Ferriwhittakerite,09.DE.15
Ferri-ottoliniite,09.DE.15
Aluminobarroisite,09.DE.20
Ferroferriwinchite,09.DE.20
Aluminoferrobarroisite,09.DE.20
Ferri-ferrobarroisite,09.DE.20
Ferribarroisite,09.DE.20
Ferrobarroisite,09.DE.20
Magnesiotaramite,09.DE.20
Ferrowinchite,09.DE.20
Ferroferribarroisite,09.DE.20
Ferri-magnesiotaramite,09.DE.20
Magnesioferrikatophorite,09.DE.20
Parvowinchite,09.DE.20
Magnesiokatophorite,09.DE.20
Fluoro-alumino-magnesiotaramite,09.DE.20
Aluminotaramite,09.DE.20
Alumino-magnesiotaramite,09.DE.20
Crossite,09.DE.25
Fluoro-ferroleakeite,09.DE.25
Ferro-eckermannite,09.DE.25
Ferroleakeite,09.DE.25
Ferronyboite,09.DE.25
Ferric-ferronyboite,09.DE.25
Obertiite,09.DE.25
Kozulite,09.DE.25
Kornite,09.DE.25
Leakeite,09.DE.25
Ungarettiite,09.DE.25
Potassicleakeite,09.DE.25
Fluoro-magnesio-arfvedsonite,09.DE.25
Dellaventuraite,09.DE.25
Wollastonite-3A-4A-5A-7A,09.DG.05
Wollastonite-1A,09.DG.05
Wollastonite-2M,09.DG.05
Senekevichite,09.DG.07.5
Gageite-2M,09.DH.35
Tadzhikite-(Y),09.DK.20
Semenovite,09.DN.10
Ashcroftine-(Ce),09.DN.15
IMA2009-009,09.DX.00
IMA2008-070,09.DX.00
IMA2007-015,09.DX.00
IMA2009-012,09.DX.00
Plumalsite,09.DX.00
Hypersthene,09.DX.00
IMA2009-010,09.DX.00
Apophyllite,09.EA.15
Apophyllite-(KOH),09.EA.15
Apophyllite-(KF),09.EA.15
Apophyllite-(NaF),09.EA.15
Glauconite,09.EC.15
Biotite,09.EC.20
Lepidolite,09.EC.20
Zinnwaldite,09.EC.20
Brammallite,09.EC.25
Almbosite,09.EC.40
Griffithite,09.EC.45
Sobotkite,09.EC.45
Orthochamosite,09.EC.55
Illite,09.EC.60
Endellite,09.ED.10
Sturtite,09.ED.10
Clinochrysotile,09.ED.15
Orthochrysotile,09.ED.15
Parachrysotile,09.ED.15
Maufite,09.ED.15
Brokenhillite,09.EE.10
Bariumbannisterite,09.EG.07.5
Franklinphilite,09.EG.40
Ekmanite,09.EG.40
Anorthoclase,09.FA.30
Hyalophane,09.FA.30
Bytownite,09.FA.35
Andesine,09.FA.35
Labradorite,09.FA.35
Oligoclase,09.FA.35
Plagioclase,09.FA.35
IMA2008-065,09.FB.05
IMA2008-006,09.FB.05
Helvite,09.FB.10
Scapolite,09.FB.15
Tetranatrolite,09.GA.05
Garronite,09.GC.05
Gismondine,09.GC.05
Paulingite-Na,09.GC.35
Herschelite,09.GD.10
Foshallasite,09.HA.55
Ilmajokite,09.HB.05
IMA2007-041T,09.HX.00
Iddingsite,09.HX.00
Carboirite-VIII,09.JA.05
Carboirite-III,09.JA.05
Orebroite-VIII,09.JA.05
Kafehydrocyanite,10.AD.10
Hartite,10.BA.10
Karpatite,10.BA.30
Amber,10.C
