Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Batisite,Na_2_BaTi^4+^_2_(Si_4_O_12_)O_2_,Na Ba Ti^4+ Si O,Na Ba Ti^4+ Si O,Na Ba Ti Si O,Na Ba Ti^4+ Si O,valid,,,
Batisivite,"BaTi^4+^_6_(V^3+^,Cr^3+^)_8_(Si_2_O_7_)O_22_",Ba Ti^4+ V^3+ Cr^3+ Si O,Ba Ti^4+ V^3+ Cr^3+ Si O,Ba Ti V Cr Si O,Ba Ti^4+ V^3+ Cr^3+ Si O,valid,,,
Batoniite,Al_8_(S^6+^O_4_)_5_(OH)_14_(H_2_O)_18_·5H_2_O,Al S^6+ O H,Al S^6+ O H,Al S O H,Al S^6+ O H,valid,,,
Baumhauerite,Pb^2+^_12_As^3+^_16_S^2-^_36_,Pb^2+ As^3+ S^2-,Pb^2+ As^3+ S^2-,Pb As S,Pb^2+ As^3+ S^2-,valid,,,
Baumhauerite II,Pb^2+^_3_As^3+^_4_S^2-^_9_,Pb^2+ As^3+ S^2-,Pb^2+ As^3+ S^2-,Pb As S,Pb^2+ As^3+ S^2-,valid,,,
Baumoite,Ba_0.5_[(U^6+^O_2_)_3_O_8_Mo^6+^_2_(OH)_3_](H_2_O)_3_,Ba U^6+ O Mo^6+ H,Ba U^6+ O Mo^6+ H,Ba U O Mo H,Ba U^6+ O Mo^6+ H,valid,,,
Baumstarkite,Ag_3_Sb_3_S_6_,Ag Sb S,Ag Sb S,Ag Sb S,Ag Sb S,valid,,,
Bauranoite,BaU^6+^_2_O_7_·4-5H_2_O,Ba U^6+ O H,Ba U^6+ O H,Ba U O H,Ba U^6+ O H,valid,,,
Bavenite,Ca_4_Be_2+x_Al_2-x_Si_9_O_26-x_(OH)_2+x_ (x = 0 to 1),Ca Be Al Si O H,Ca Be Al Si O H,Ca Be Al Si O H,Ca Be Al Si O H,valid,,,
Bavsiite,Ba_2_V^4+^_2_O_2_[Si_4_O_12_],Ba V^4+ O Si,Ba V^4+ O Si,Ba V O Si,Ba V^4+ O Si,valid,,,
Bayanoboite-(Y),Ba_2_Y(CO_3_)_2_F_3_,Ba Y C O F,Ba Y C O F,Ba Y C O F,Ba Y C O F,valid,,,
Bayerite,Al(OH)_3_,Al O H,Al O H,Al O H,Al O H,valid,,,
Bayldonite,Cu^2+^_3_Pb^2+^O(As^5+^O_3_OH)_2_(OH)_2_,Cu^2+ Pb^2+ O As^5+ H,Cu^2+ Pb^2+ O As^5+ H,Cu Pb O As H,Cu^2+ Pb^2+ O As^5+ H,valid,,,
Bayleyite,Mg_2_(U^6+^O_2_)(CO_3_)_3_·18H_2_O,Mg U^6+ O C H,Mg U^6+ O C H,Mg U O C H,Mg U^6+ O C H,valid,,,
Baylissite,K_2_Mg(CO_3_)_2_·4H_2_O,K Mg C O H,K Mg C O H,K Mg C O H,K Mg C O H,valid,,,
Bazhenovite,Ca_8_(S_5_)^2-^(S^6+^O_3_S^2-^)(OH)_12_·20H_2_O,Ca S S^6+ O S^2- H,Ca S S^6+ O S^2- H,Ca S O H,Ca S S^6+ O S^2- H,valid,,,
Bazirite,BaZr^4+^Si_3_O_9_,Ba Zr^4+ Si O,Ba Zr^4+ Si O,Ba Zr Si O,Ba Zr^4+ Si O,valid,,,
Bazzite,Be_3_Sc_2_(Si_6_O_18_),Be Sc Si O,Be Sc Si O,Be Sc Si O,Be Sc Si O,valid,,,
Bearsite,Be_2_As^5+^O_4_(OH)·4H_2_O,Be As^5+ O H,Be As^5+ O H,Be As O H,Be As^5+ O H,valid,,,
Bearthite,Ca_2_Al(PO_4_)_2_OH,Ca Al P O H,Ca Al P O H,Ca Al P O H,Ca Al P O H,valid,,,
Beaverite-(Cu),Pb^2+^Cu^2+^Fe^3+^_2_(S^6+^O_4_)_2_(OH)_6_,Pb^2+ Cu^2+ Fe^3+ S^6+ O H,Pb^2+ Cu^2+ Fe^3+ S^6+ O H,Pb Cu Fe S O H,Pb^2+ Cu^2+ Fe^3+ S^6+ O H,valid,,,
