Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Abellaite,NaPb^2+^_2_(CO_3_)_2_(OH),Na Pb^2+ C O H,Na Pb^2+ C O H,Na Pb C O H,Na Pb^2+ C O H,valid,,,
Abelloemringerite,Cu^2+^_2_Pb^2+^_2_Mn^3+^Mn^4+^_3_O_11_(OH)(H_2_O)_2_·H_2_O,Cu^2+ Pb^2+ Mn^3+ Mn^4+ O H,Cu^2+ Pb^2+ Mn^3+ Mn^4+ O H,Cu Pb Mn O H,Cu^2+ Pb^2+ Mn^3+ Mn^4+ O H,valid,,,
Abelsonite,Ni^2+^C_31_H_32_N_4_,Ni^2+ C H N,Ni^2+ C H N,Ni C H N,Ni^2+ C H N,valid,,,
Abenakiite-(Ce),Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O,Na Ce^3+ Si O P C S^4+,Na Ce^3+ Si O P C S^4+,Na Ce Si O P C S,Na Ce^3+ Si O P C S^4+,valid,,,
Abernathyite,K(U^6+^O_2_)As^5+^O_4_·3H_2_O,K U^6+ O As^5+ H,K U^6+ O As^5+ H,K U O As H,K U^6+ O As^5+ H,valid,,,
Abhurite,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn^2+ O H Cl,Sn^2+ O H Cl,Sn O H Cl,Sn^2+ O H Cl,valid,,,
Abramovite,Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,Pb Sn In Bi S,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,valid,,,
Abswurmbachite,Cu^2+^Mn^3+^_6_O_8_(SiO_4_),Cu^2+ Mn^3+ O Si,Cu^2+ Mn^3+ O Si,Cu Mn O Si,Cu^2+ Mn^3+ O Si,valid,,,
Abuite,CaAl_2_(PO_4_)_2_F_2_,Ca Al P O F,Ca Al P O F,Ca Al P O F,Ca Al P O F,valid,,,
Acanthite,Ag^1+^_2_S^2-^,Ag^1+ S^2-,Ag^1+ S^2-,Ag S,Ag^1+ S^2-,valid,,,
Acetamide,CH_3_CONH_2_,C H O N,C H O N,C H O N,C H O N,valid,,,
Achalaite,Fe^2+^Ti^4+^Nb^5+^_2_O_8_,Fe^2+ Ti^4+ Nb^5+ O,Fe^2+ Ti^4+ Nb^5+ O,Fe Ti Nb O,Fe^2+ Ti^4+ Nb^5+ O,valid,,,
Achávalite,FeSe,Fe Se,Fe Se,Fe Se,Fe Se,valid,,,
Achyrophanite,"(K,Na)_3_(Fe^3+^,Ti^4+^,Al,Mg)_5_O_2_(As^5+^O_4_)_5_",K Na Fe^3+ Ti^4+ Al Mg O As^5+,K Na Fe^3+ Ti^4+ Al Mg O As^5+,K Na Fe Ti Al Mg O As,K Na Fe^3+ Ti^4+ Al Mg O As^5+,valid,,,
Acmonidesite,"(N^3-^H_4_,K,Pb^2+^,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_",N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,N H K Pb Na Fe S O Cl,N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,valid,,,
Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Ca Mg Fe^2+ Si O H,Ca Mg Fe^2+ Si O H,Ca Mg Fe Si O H,Ca Mg Fe^2+ Si O H,valid,,,
Acuminite,SrAlF_4_(OH)·H_2_O,Sr Al F O H,Sr Al F O H,Sr Al F O H,Sr Al F O H,valid,,,
Adachiite,CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH),Ca Fe^2+ Al Si O B H,Ca Fe^2+ Al Si O B H,Ca Fe Al Si O B H,Ca Fe^2+ Al Si O B H,valid,,,
Adamite,Zn^2+^_2_As^5+^O_4_(OH),Zn^2+ As^5+ O H,Zn^2+ As^5+ O H,Zn As O H,Zn^2+ As^5+ O H,valid,,,
Adamsite-(Y),NaY(CO_3_)_2_·6H_2_O,Na Y C O H,Na Y C O H,Na Y C O H,Na Y C O H,valid,,,
Adanite,Pb^2+^_2_(Te^4+^O_3_)(S^6+^O_4_),Pb^2+ Te^4+ O S^6+,Pb^2+ Te^4+ O S^6+,Pb Te O S,Pb^2+ Te^4+ O S^6+,valid,,,
Addibischoffite,Ca_2_Al_6_Al_6_O_20_,Ca Al O,Ca Al O,Ca Al O,Ca Al O,valid,,,
Adelite,CaMgAs^5+^O_4_(OH),Ca Mg As^5+ O H,Ca Mg As^5+ O H,Ca Mg As O H,Ca Mg As^5+ O H,valid,,,
Admontite,MgB_6_O_10_·7H_2_O,Mg B O H,Mg B O H,Mg B O H,Mg B O H,valid,,,
Adolfpateraite,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O),K U^6+ O S^6+ H,K U^6+ O S^6+ H,K U O S H,K U^6+ O S^6+ H,valid,,,
Adranosite,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_,N^3- H Na Al S^6+ O Cl,N^3- H Na Al S^6+ O Cl,N H Na Al S O Cl,N^3- H Na Al S^6+ O Cl,valid,,,
Adranosite-(Fe),(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_,N^3- H Na Fe^3+ S^6+ O Cl,N^3- H Na Fe^3+ S^6+ O Cl,N H Na Fe S O Cl,N^3- H Na Fe^3+ S^6+ O Cl,valid,,,
Adrianite,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_,Ca Al Mg Si O Cl,Ca Al Mg Si O Cl,Ca Al Mg Si O Cl,Ca Al Mg Si O Cl,valid,,,
Aegirine,NaFe^3+^Si_2_O_6_,Na Fe^3+ Si O,Na Fe^3+ Si O,Na Fe Si O,Na Fe^3+ Si O,valid,,,
Aegirine-augite,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_",Ca Na Fe^3+ Mg Fe^2+ Si O,Ca Na Fe^3+ Mg Fe^2+ Si O,Ca Na Fe Mg Si O,Ca Na Fe^3+ Mg Fe^2+ Si O,valid,,,
Aenigmatite,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Na Fe^2+ Ti^4+ O Si,Na Fe^2+ Ti^4+ O Si,Na Fe Ti O Si,Na Fe^2+ Ti^4+ O Si,valid,,,
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O",Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,Ca Na Fe Mg Al Si O H C,Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,valid,,,
Aerugite,Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_,Ni^2+ As^5+ O,Ni^2+ As^5+ O,Ni As O,Ni^2+ As^5+ O,valid,,,
Aeschynite-(Ce),Ce^3+^(Ti^4+^Nb^5+^)O_6_,Ce^3+ Ti^4+ Nb^5+ O,Ce^3+ Ti^4+ Nb^5+ O,Ce Ti Nb O,Ce^3+ Ti^4+ Nb^5+ O,valid,,,
Aeschynite-(Nd),Nd(Ti^4+^Nb^5+^)O_6_,Nd Ti^4+ Nb^5+ O,Nd Ti^4+ Nb^5+ O,Nd Ti Nb O,Nd Ti^4+ Nb^5+ O,valid,,,
Aeschynite-(Y),Y(Ti^4+^Nb^5+^)O_6_,Y Ti^4+ Nb^5+ O,Y Ti^4+ Nb^5+ O,Y Ti Nb O,Y Ti^4+ Nb^5+ O,valid,,,
Afghanite,"(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_",Na K Ca Si Al O S^6+ Cl,Na K Ca Si Al O S^6+ Cl,Na K Ca Si Al O S Cl,Na K Ca Si Al O S^6+ Cl,valid,,,
Afmite,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O,Al O H P,Al O H P,Al O H P,Al O H P,valid,,,
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,Ca Si O H,Ca Si O H,Ca Si O H,Ca Si O H,valid,,,
Agaite,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_),Pb^2+ Cu^2+ Te^6+ O H C,Pb^2+ Cu^2+ Te^6+ O H C,Pb Cu Te O H C,Pb^2+ Cu^2+ Te^6+ O H C,valid,,,
Agakhanovite-(Y),YCa[box]_2_KBe_3_Si_12_O_30_,Y Ca K Be Si O,Y Ca K Be Si O,Y Ca K Be Si O,Y Ca K Be Si O,valid,,,
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu^2+ Ce^3+ As^5+ O H,Cu^2+ Ce^3+ As^5+ O H,Cu Ce As O H,Cu^2+ Ce^3+ As^5+ O H,valid,,,
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu^2+ La^3+ As^5+ O H,Cu^2+ La^3+ As^5+ O H,Cu La As O H,Cu^2+ La^3+ As^5+ O H,valid,,,
Agardite-(Nd),Cu^2+^_6_Nd(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu^2+ Nd As^5+ O H,Cu^2+ Nd As^5+ O H,Cu Nd As O H,Cu^2+ Nd As^5+ O H,valid,,,
Agardite-(Y),Cu^2+^_6_Y(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu^2+ Y As^5+ O H,Cu^2+ Y As^5+ O H,Cu Y As O H,Cu^2+ Y As^5+ O H,valid,,,
Agmantinite,Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_,Ag^1+ Mn^2+ Sn^4+ S^2-,Ag^1+ Mn^2+ Sn^4+ S^2-,Ag Mn Sn S,Ag^1+ Mn^2+ Sn^4+ S^2-,valid,,,
Agrellite,NaCa_2_Si_4_O_10_F,Na Ca Si O F,Na Ca Si O F,Na Ca Si O F,Na Ca Si O F,valid,,,
Agricolaite,K_4_(U^6+^O_2_)(CO_3_)_3_,K U^6+ O C,K U^6+ O C,K U O C,K U^6+ O C,valid,,,
Agrinierite,K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O,K Ca U^6+ O H,K Ca U^6+ O H,K Ca U O H,K Ca U^6+ O H,valid,,,
Aguilarite,Ag^1+^_4_Se^2-^S^2-^,Ag^1+ Se^2- S^2-,Ag^1+ Se^2- S^2-,Ag Se S,Ag^1+ Se^2- S^2-,valid,,,
Aheylite,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O,Fe^2+ Al P O H,Fe^2+ Al P O H,Fe Al P O H,Fe^2+ Al P O H,valid,,,
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,Ni^2+ Se^4+ O H,Ni^2+ Se^4+ O H,Ni Se O H,Ni^2+ Se^4+ O H,valid,,,
Ahrensite,SiFe^2+^_2_O_4_,Si Fe^2+ O,Si Fe^2+ O,Si Fe O,Si Fe^2+ O,valid,,,
Aikinite,Cu^1+^Pb^2+^Bi^3+^S^2-^_3_,Cu^1+ Pb^2+ Bi^3+ S^2-,Cu^1+ Pb^2+ Bi^3+ S^2-,Cu Pb Bi S,Cu^1+ Pb^2+ Bi^3+ S^2-,valid,,,
Aiolosite,Na_2_(Na_2_Bi^3+^)(S^6+^O_4_)_3_Cl,Na Bi^3+ S^6+ O Cl,Na Bi^3+ S^6+ O Cl,Na Bi S O Cl,Na Bi^3+ S^6+ O Cl,valid,,,
Airdite,Sr(V^4+^O)_2_(PO_4_)_2_·4H_2_O,Sr V^4+ O P H,Sr V^4+ O P H,Sr V O P H,Sr V^4+ O P H,valid,,,
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,K Cu^2+ Al Si O H,K Cu^2+ Al Si O H,K Cu Al Si O H,K Cu^2+ Al Si O H,valid,,,
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Fe^3+ Ni^2+ O H Cl,Fe^3+ Ni^2+ O H Cl,Fe Ni O H Cl,Fe^3+ Ni^2+ O H Cl,valid,,,
Akaogiite,Ti^4+^O_2_,Ti^4+ O,Ti^4+ O,Ti O,Ti^4+ O,valid,,,
Akasakaite-(Ce),CaCe^3+^(Al_2_Mn^2+^)(Si_2_O_7_)(SiO_4_)O(OH),Ca Ce^3+ Al Mn^2+ Si O H,Ca Ce^3+ Al Mn^2+ Si O H,Ca Ce Al Mn Si O H,Ca Ce^3+ Al Mn^2+ Si O H,valid,,,
Akasakaite-(La),CaLa^3+^(Al_2_Mn^2+^)(Si_2_O_7_)(SiO_4_)O(OH),Ca La^3+ Al Mn^2+ Si O H,Ca La^3+ Al Mn^2+ Si O H,Ca La Al Mn Si O H,Ca La^3+ Al Mn^2+ Si O H,valid,,,
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Mn^2+ Al Si O H,Mn^2+ Al Si O H,Mn Al Si O H,Mn^2+ Al Si O H,valid,,,
Akdalaite,Al_5_O_7_(OH),Al O H,Al O H,Al O H,Al O H,valid,,,
Åkermanite,Ca_2_MgSi_2_O_7_,Ca Mg Si O,Ca Mg Si O,Ca Mg Si O,Ca Mg Si O,valid,,,
Akhtenskite,Mn^4+^O_2_,Mn^4+ O,Mn^4+ O,Mn O,Mn^4+ O,valid,,,
Akimotoite,MgSiO_3_,Mg Si O,Mg Si O,Mg Si O,Mg Si O,valid,,,
Aklimaite,Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O,Ca Si O H,Ca Si O H,Ca Si O H,Ca Si O H,valid,,,
Akopovaite,Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_,Al Li O H C,Al Li O H C,Al Li O H C,Al Li O H C,valid,,,
Akrochordite,Mn^2+^Mn^2+^_2_Mn^2+^_2_(As^5+^O_4_)_2_(OH)_4_(H_2_O)_4_,Mn^2+ As^5+ O H,Mn^2+ As^5+ O H,Mn As O H,Mn^2+ As^5+ O H,valid,,,
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,Mg B O H,Mg B O H,Mg B O H,Mg B O H,valid,,,
Aktashite,Cu^1+^_6_Hg^2+^_3_As^3+^_4_S^2-^_12_,Cu^1+ Hg^2+ As^3+ S^2-,Cu^1+ Hg^2+ As^3+ S^2-,Cu Hg As S,Cu^1+ Hg^2+ As^3+ S^2-,valid,,,
Alabandite,Mn^2+^S^2-^,Mn^2+ S^2-,Mn^2+ S^2-,Mn S,Mn^2+ S^2-,valid,,,
Alacránite,As_8_S_9_,As S,As S,As S,As S,valid,,,
Alamosite,Pb^2+^SiO_3_,Pb^2+ Si O,Pb^2+ Si O,Pb Si O,Pb^2+ Si O,valid,,,
Alarsite,AlAs^5+^O_4_,Al As^5+ O,Al As^5+ O,Al As O,Al As^5+ O,valid,,,
Albertiniite,Fe^2+^(S^4+^O_3_)·3H_2_O,Fe^2+ S^4+ O H,Fe^2+ S^4+ O H,Fe S O H,Fe^2+ S^4+ O H,valid,,,
Albite,NaAlSi_3_O_8_,Na Al Si O,Na Al Si O,Na Al Si O,Na Al Si O,valid,,,
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,Ca Mg U^6+ O C F H,Ca Mg U^6+ O C F H,Ca Mg U O C F H,Ca Mg U^6+ O C F H,valid,,,
Alburnite,Ag^1+^_8_GeTe^2-^_2_S^2-^_4_,Ag^1+ Ge Te^2- S^2-,Ag^1+ Ge Te^2- S^2-,Ag Ge Te S,Ag^1+ Ge Te^2- S^2-,valid,,,
Alcantarillaite,[Fe^3+^_0.5_(H_2_O)_4_][CaAs^3+^_2_(Fe^3+^_2.5_W^6+^_0.5_)(As^5+^O_4_)_2_O_7_],Fe^3+ H O Ca As^3+ W^6+ As^5+,Fe^3+ H O Ca As^3+ W^6+ As^5+,Fe H O Ca As W,Fe^3+ H O Ca As^3+ W^6+ As^5+,valid,,,
Alcaparrosaite,K_3_Ti^4+^Fe^3+^(S^6+^O_4_)_4_O·2H_2_O,K Ti^4+ Fe^3+ S^6+ O H,K Ti^4+ Fe^3+ S^6+ O H,K Ti Fe S O H,K Ti^4+ Fe^3+ S^6+ O H,valid,,,
Aldermanite,[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O,Mg H O Na Al P,Mg H O Na Al P,Mg H O Na Al P,Mg H O Na Al P,valid,,,
Aldomarinoite,Sr_2_Mn^3+^(As^5+^O_4_)_2_(OH),Sr Mn^3+ As^5+ O H,Sr Mn^3+ As^5+ O H,Sr Mn As O H,Sr Mn^3+ As^5+ O H,valid,,,
Aldridgeite,Cd^2+^Cu^2+^_4_(S^6+^O_4_)_2_(OH)_6_(H_2_O)_3_,Cd^2+ Cu^2+ S^6+ O H,Cd^2+ Cu^2+ S^6+ O H,Cd Cu S O H,Cd^2+ Cu^2+ S^6+ O H,valid,,,
Aleksandrovite,KCa_7_Sn^4+^_2_Li_3_Si_12_O_36_F_2_,K Ca Sn^4+ Li Si O F,K Ca Sn^4+ Li Si O F,K Ca Sn Li Si O F,K Ca Sn^4+ Li Si O F,valid,,,
Aleksite,Pb^2+^Bi^3+^_2_Te^2-^_2_S^2-^_2_,Pb^2+ Bi^3+ Te^2- S^2-,Pb^2+ Bi^3+ Te^2- S^2-,Pb Bi Te S,Pb^2+ Bi^3+ Te^2- S^2-,valid,,,
Aleutite,[Cu^2+^_5_O_2_](As^5+^O_4_)(V^5+^O_4_)·(Cu^2+^_0.5_[box]_0.5_)Cl,Cu^2+ O As^5+ V^5+ Cl,Cu^2+ O As^5+ V^5+ Cl,Cu O As V Cl,Cu^2+ O As^5+ V^5+ Cl,valid,,,
Alexearlite,Hg^2+^_3_(Mo^6+^O_4_)S^2-^_2_,Hg^2+ Mo^6+ O S^2-,Hg^2+ Mo^6+ O S^2-,Hg Mo O S,Hg^2+ Mo^6+ O S^2-,valid,,,
Alexkhomyakovite,K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O,K Ca Na C O Cl H,K Ca Na C O Cl H,K Ca Na C O Cl H,K Ca Na C O Cl H,valid,,,
Alexkuznetsovite-(Ce),Ce^3+^_2_Mn^2+^(CO_3_)(Si_2_O_7_),Ce^3+ Mn^2+ C O Si,Ce^3+ Mn^2+ C O Si,Ce Mn C O Si,Ce^3+ Mn^2+ C O Si,valid,,,
Alexkuznetsovite-(La),La^3+^_2_Mn^2+^(CO_3_)(Si_2_O_7_),La^3+ Mn^2+ C O Si,La^3+ Mn^2+ C O Si,La Mn C O Si,La^3+ Mn^2+ C O Si,valid,,,
Alexshubnikovite,Ca_2_Cu^2+^_9_(As^5+^O_4_)_4_(OH)_9_Cl(H_2_O)_8_·2H_2_O,Ca Cu^2+ As^5+ O H Cl,Ca Cu^2+ As^5+ O H Cl,Ca Cu As O H Cl,Ca Cu^2+ As^5+ O H Cl,valid,,,
Alflarsenite,NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O,Na Ca Be Si O H,Na Ca Be Si O H,Na Ca Be Si O H,Na Ca Be Si O H,valid,,,
Alforsite,Ba_5_(PO_4_)_3_Cl,Ba P O Cl,Ba P O Cl,Ba P O Cl,Ba P O Cl,valid,,,
Alfredcasparite,Sr_2_Ti^4+^O(Si_2_O_7_),Sr Ti^4+ O Si,Sr Ti^4+ O Si,Sr Ti O Si,Sr Ti^4+ O Si,valid,,,
Alfredopetrovite,Al_2_(Se^4+^O_3_)_3_·6H_2_O,Al Se^4+ O H,Al Se^4+ O H,Al Se O H,Al Se^4+ O H,valid,,,
Alfredstelznerite,Ca_4_B_16_O_16_(OH)_24_·19H_2_O,Ca B O H,Ca B O H,Ca B O H,Ca B O H,valid,,,
Algodonite,Cu_1-x_As_x_ (x ≈ 1/7),Cu As,Cu As,Cu As,Cu As,valid,,,
Alicewilsonite-(YCe),Na_2_Sr_2_YCe^3+^(CO_3_)_6_·3H_2_O,Na Sr Y Ce^3+ C O H,Na Sr Y Ce^3+ C O H,Na Sr Y Ce C O H,Na Sr Y Ce^3+ C O H,valid,,,
Alicewilsonite-(YLa),Na_2_Sr_2_YLa^3+^(CO_3_)_6_·3H_2_O,Na Sr Y La^3+ C O H,Na Sr Y La^3+ C O H,Na Sr Y La C O H,Na Sr Y La^3+ C O H,valid,,,
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Ca Mg Si Al O H,Ca Mg Si Al O H,Ca Mg Si Al O H,Ca Mg Si Al O H,valid,,,
Allabogdanite,"(Fe,Ni)_2_P",Fe Ni P,Fe Ni P,Fe Ni P,Fe Ni P,valid,,,
Allactite,Mn^2+^_7_(As^5+^O_4_)_2_(OH)_8_,Mn^2+ As^5+ O H,Mn^2+ As^5+ O H,Mn As O H,Mn^2+ As^5+ O H,valid,,,
Allanite-(Ce),CaCe^3+^Al_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca Ce^3+ Al Fe^2+ Si O H,Ca Ce^3+ Al Fe^2+ Si O H,Ca Ce Al Fe Si O H,Ca Ce^3+ Al Fe^2+ Si O H,valid,,,
Allanite-(La),CaLa^3+^Fe^2+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH),Ca La^3+ Fe^2+ Al Si O H,Ca La^3+ Fe^2+ Al Si O H,Ca La Fe Al Si O H,Ca La^3+ Fe^2+ Al Si O H,valid,,,
Allanite-(Nd),CaNdAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca Nd Al Fe^2+ Si O H,Ca Nd Al Fe^2+ Si O H,Ca Nd Al Fe Si O H,Ca Nd Al Fe^2+ Si O H,valid,,,
Allanite-(Sm),CaSm(Al_2_Fe^2+^)(Si_2_O_7_)(SiO_4_)O(OH),Ca Sm Al Fe^2+ Si O H,Ca Sm Al Fe^2+ Si O H,Ca Sm Al Fe Si O H,Ca Sm Al Fe^2+ Si O H,valid,,,
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca Y Al Fe^2+ Si O H,Ca Y Al Fe^2+ Si O H,Ca Y Al Fe Si O H,Ca Y Al Fe^2+ Si O H,valid,,,
Allanpringite,Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O,Fe^3+ P O H,Fe^3+ P O H,Fe P O H,Fe^3+ P O H,valid,,,
Allantoin,C_4_H_6_N_4_O_3_,C H N O,C H N O,C H N O,C H N O,valid,,,
Allargentum,Ag_1-x_Sb_x_ (x=0.09-0.16),Ag Sb,Ag Sb,Ag Sb,Ag Sb,valid,,,
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,Mn^2+ Si O H,Mn^2+ Si O H,Mn Si O H,Mn^2+ Si O H,valid,,,
Allendeite,Sc_4_Zr^4+^_3_O_12_,Sc Zr^4+ O,Sc Zr^4+ O,Sc Zr O,Sc Zr^4+ O,valid,,,
Allochalcoselite,Cu^1+^Cu^2+^_5_Pb^2+^O_2_(Se^4+^O_3_)_2_Cl_5_,Cu^1+ Cu^2+ Pb^2+ O Se^4+ Cl,Cu^1+ Cu^2+ Pb^2+ O Se^4+ Cl,Cu Pb O Se Cl,Cu^1+ Cu^2+ Pb^2+ O Se^4+ Cl,valid,,,
Alloclasite,Co^3+^(AsS)^3-^,Co^3+ As S,Co^3+ As S,Co As S,Co^3+ As S,valid,,,
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Al O Si H,Al O Si H,Al O Si H,Al O Si H,valid,,,
Alloriite,"(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(S^6+^O_4_)_4_(S^4+^O_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_",Na K Ca Si Al O S^6+ S^4+ C H Cl,Na K Ca Si Al O S^6+ S^4+ C H Cl,Na K Ca Si Al O S C H Cl,Na K Ca Si Al O S^6+ S^4+ C H Cl,valid,,,
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Na Ca Mn^2+ Ti^4+ Nb^5+ Si O Cl H,Na Ca Mn^2+ Ti^4+ Nb^5+ Si O Cl H,Na Ca Mn Ti Nb Si O Cl H,Na Ca Mn^2+ Ti^4+ Nb^5+ Si O Cl H,valid,,,
Alluaudite,[box]NaMn^2+^Fe^3+^_2_(PO_4_)_3_,Na Mn^2+ Fe^3+ P O,Na Mn^2+ Fe^3+ P O,Na Mn Fe P O,Na Mn^2+ Fe^3+ P O,valid,,,
Almagreraite,Cu^2+^Zn^2+^Mn^4+^_3_O_8_,Cu^2+ Zn^2+ Mn^4+ O,Cu^2+ Zn^2+ Mn^4+ O,Cu Zn Mn O,Cu^2+ Zn^2+ Mn^4+ O,valid,,,
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Fe^2+ Al Si O,Fe^2+ Al Si O,Fe Al Si O,Fe^2+ Al Si O,valid,,,
Almarudite,"K([box],Na)_2_(Mn^2+^,Fe^2+^,Mg)_2_[(Be,Al)_3_Si_12_]O_30_",K Na Mn^2+ Fe^2+ Mg Be Al Si O,K Na Mn^2+ Fe^2+ Mg Be Al Si O,K Na Mn Fe Mg Be Al Si O,K Na Mn^2+ Fe^2+ Mg Be Al Si O,valid,,,
Almeidaite,"Pb^2+^Zn^2+^_2_(Mn^2+^,Y)(Ti^4+^,Fe^3+^)_18_O_36_(OH,O)_2_",Pb^2+ Zn^2+ Mn^2+ Y Ti^4+ Fe^3+ O H,Pb^2+ Zn^2+ Mn^2+ Y Ti^4+ Fe^3+ O H,Pb Zn Mn Y Ti Fe O H,Pb^2+ Zn^2+ Mn^2+ Y Ti^4+ Fe^3+ O H,valid,,,
Alnaperbøeite-(Ce),(CaCe^3+^_2.5_Na_0.5_)Al_4_(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_,Ca Ce^3+ Na Al Si O H,Ca Ce^3+ Na Al Si O H,Ca Ce Na Al Si O H,Ca Ce^3+ Na Al Si O H,valid,,,
Alpeite,Ca_4_Mn^3+^_2_Al_2_(Mn^3+^Mg)(SiO_4_)_2_(Si_3_O_10_)(V^5+^O_4_)(OH)_6_,Ca Mn^3+ Al Mg Si O V^5+ H,Ca Mn^3+ Al Mg Si O V^5+ H,Ca Mn Al Mg Si O V H,Ca Mn^3+ Al Mg Si O V^5+ H,valid,,,
Alpersite,MgS^6+^O_4_·7H_2_O,Mg S^6+ O H,Mg S^6+ O H,Mg S O H,Mg S^6+ O H,valid,,,
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Na Sr K Zn^2+ Ti^4+ Nb^5+ Si O H,Na Sr K Zn^2+ Ti^4+ Nb^5+ Si O H,Na Sr K Zn Ti Nb Si O H,Na Sr K Zn^2+ Ti^4+ Nb^5+ Si O H,valid,,,
Alstonite,BaCa(CO_3_)_2_,Ba Ca C O,Ba Ca C O,Ba Ca C O,Ba Ca C O,valid,,,
Altaite,Pb^2+^Te^2-^,Pb^2+ Te^2-,Pb^2+ Te^2-,Pb Te,Pb^2+ Te^2-,valid,,,
