Mineral Name,Mineral Name (plain),Mineral Name (HTML),Valence Chemistry,Valence Chemistry (concise),Valence Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,RRUFF IDs,Database ID,Year First Published,IMA Status,Structural Groupname,Crystal Systems,Space Groups,Valence Elements,IMA Mineral Symbol,Paragenetic Modes
Gersdorffite,Gersdorffite,Gersdorffite,Ni3+(AsS)3-,Ni^3+^(AsS)^3-^,Ni<sup>3+</sup>(AsS)<sup>3-</sup>,NiAsS,Ni As S,,2075,1845,"Approved, Renamed",Ullmannite,cubic,P213,Ni^3+ As S,Gdf-P213,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
Gerstleyite,Gerstleyite,Gerstleyite,"Na2(Sb,As)8S13·2H2O","Na_2_(Sb,As)_8_S_13_·2H_2_O","Na<sub>2</sub>(Sb,As)<sub>8</sub>S<sub>13</sub>·2H<sub>2</sub>O","Na<sub>2</sub>(Sb,As)<sub>8</sub>S<sub>13</sub>·2H<sub>2</sub>O",Na Sb As S H O,,2076,1956,"Approved, Grandfathered",,monoclinic,Cm,Na Sb As S H O,Gst,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Gerstmannite,Gerstmannite,Gerstmannite,Mn2+MgZn2+SiO4(OH)2,Mn^2+^MgZn^2+^SiO_4_(OH)_2_,Mn<sup>2+</sup>MgZn<sup>2+</sup>SiO<sub>4</sub>(OH)<sub>2</sub>,Mn<sup>2+</sup>MgZn(SiO<sub>4</sub>)(OH)<sub>2</sub>,Mn Mg Zn Si O H,,2077,1975,Approved,,orthorhombic,Bbcm,Mn^2+ Mg Zn^2+ Si O H,Gmn,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Geschieberite,Geschieberite,Geschieberite,K2(U6+O2)(S6+O4)2·2H2O,K_2_(U^6+^O_2_)(S^6+^O_4_)_2_·2H_2_O,K<sub>2</sub>(U<sup>6+</sup>O<sub>2</sub>)(S<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,K<sub>2</sub>(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,K U O S H,,6299,2014,Approved,,orthorhombic,"Pna21, Pnma",K U^6+ O S^6+ H,Gsb,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Getchellite,Getchellite,Getchellite,SbAsS3,SbAsS_3_,SbAsS<sub>3</sub>,SbAsS<sub>3</sub>,Sb As S,,2078,1965,Approved,,monoclinic,P21/a,Sb As S,Get,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Geuerite,Geuerite,Geuerite,Ag1+2Tl1+4Pb2+4As3+22S2-40,Ag^1+^_2_Tl^1+^_4_Pb^2+^_4_As^3+^_22_S^2-^_40_,Ag<sup>1+</sup><sub>2</sub>Tl<sup>1+</sup><sub>4</sub>Pb<sup>2+</sup><sub>4</sub>As<sup>3+</sup><sub>22</sub>S<sup>2-</sup><sub>40</sub>,Ag<sub>2</sub>Tl<sub>4</sub>Pb<sub>4</sub>As<sub>22</sub>S<sub>40</sub>,Ag Tl Pb As S,,7432,2024,"Approved, Pending publication",Sartorite,monoclinic,P21/c,Ag^1+ Tl^1+ Pb^2+ As^3+ S^2-,Geu,
Geversite,Geversite,Geversite,PtSb2,PtSb_2_,PtSb<sub>2</sub>,PtSb<sub>2</sub>,Pt Sb,,2079,1961,Approved,Pyrite,cubic,Pa3,Pt Sb,Gev,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
Ghiaraite,Ghiaraite,Ghiaraite,CaCl2·4H2O,CaCl_2_·4H_2_O,CaCl<sub>2</sub>·4H<sub>2</sub>O,CaCl<sub>2</sub>·4H<sub>2</sub>O,Ca Cl H O,,6126,2012,Approved,,triclinic,P1,Ca Cl H O,Ghi,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Giacovazzoite,Giacovazzoite,Giacovazzoite,K5Fe3+3O(S6+O4)6·10H2O,K_5_Fe^3+^_3_O(S^6+^O_4_)_6_·10H_2_O,K<sub>5</sub>Fe<sup>3+</sup><sub>3</sub>O(S<sup>6+</sup>O<sub>4</sub>)<sub>6</sub>·10H<sub>2</sub>O,K<sub>5</sub>Fe<sup>3+</sup><sub>3</sub>O(SO<sub>4</sub>)<sub>6</sub>·10H<sub>2</sub>O,K Fe O S H,,6888,2019,Approved,,monoclinic,P21/c,K Fe^3+ O S^6+ H,Gvz,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Gianellaite,Gianellaite,Gianellaite,[(N3-Hg2+2)2](S6+O4)(H2O)x,[(N^3-^Hg^2+^_2_)_2_](S^6+^O_4_)(H_2_O)_x_,[(N<sup>3-</sup>Hg<sup>2+</sup><sub>2</sub>)<sub>2</sub>](S<sup>6+</sup>O<sub>4</sub>)(H<sub>2</sub>O)<sub><i>x</i></sub>,(Hg<sub>2</sub>N)<sub>2</sub>(SO<sub>4</sub>)(H<sub>2</sub>O)<sub>x</sub>,Hg N S O H,,2080,1972,Approved,,cubic,F43m,N^3- Hg^2+ S^6+ O H,Gia,"Abiotic, Biotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Gibbsite,Gibbsite,Gibbsite,Al(OH)3,Al(OH)_3_,Al(OH)<sub>3</sub>,Al(OH)<sub>3</sub>,Al O H,,2081,1822,Approved,Gibbsite,monoclinic,P21/n,Al O H,Gbs,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
